player_id,fullName,batSide,pitchHand,strikeZoneTop,strikeZoneBottom
671096,Andrew Abbott,L,L,3.37,1.54
682928,CJ Abrams,L,R,3.48,1.58
650556,Bryan Abreu,R,R,3.411,1.565
547989,José Abreu,R,R,3.42,1.55
677800,Wilyer Abreu,L,L,3.36,1.61
682668,Luisangel Acuña,R,R,3.23,1.54
660670,Ronald Acuña Jr.,R,R,3.56,1.64
592094,Jason Adam,R,R,3.49,1.601
642715,Willy Adames,R,R,3.44,1.69
613534,Austin Adams,R,R,3.49,1.601
677941,Jordyn Adams,R,R,3.39,1.59
656180,Riley Adams,R,R,3.34,1.63
686654,Ty Adcock,R,R,3.371,1.535
666176,Jo Adell,R,R,3.56,1.69
672851,Joan Adon,R,R,3.467,1.589
501303,Ehire Adrianza,S,R,3.2,1.51
687924,Julian Aguiar,L,R,3.49,1.601
605113,Nick Ahmed,R,R,3.67,1.75
669211,Keegan Akin,L,L,3.371,1.535
645277,Ozzie Albies,S,R,3.28,1.55
660896,Jorge Alcala,R,R,3.49,1.601
682634,Kevin Alcántara,R,R,3.656,1.677
691951,Sam Aldegheri,L,L,3.411,1.565
677942,Blaze Alexander,R,R,3.2,1.53
680769,CJ Alexander,L,R,3.549,1.627
518397,Scott Alexander,L,L,3.467,1.589
641302,Tyler Alexander,R,L,3.467,1.589
663465,Kolby Allard,L,L,3.411,1.565
663531,Logan Allen,R,L,3.49,1.601
671106,Logan Allen,R,L,3.371,1.535
669397,Nick Allen,R,R,2.98,1.38
622075,Yency Almonte,R,R,3.575,1.681
624413,Pete Alonso,R,R,3.37,1.61
656186,Dan Altavilla,R,R,3.319,1.513
514888,Jose Altuve,R,R,2.89,1.3
621237,José Alvarado,L,L,3.467,1.589
669137,Armando Alvarez,R,R,3.29,1.56
657193,Eddy Alvarez,L,R,3.15,1.46
682626,Francisco Alvarez,R,R,3.28,1.49
805373,Nacho Alvarez Jr.,R,R,3.17,1.41
670541,Yordan Alvarez,L,R,3.54,1.71
640470,Adbert Alzolay,R,R,3.41,1.61
691182,Adael Amador,S,R,3.371,1.535
676070,Jacob Amaya,R,R,3.12,1.47
665804,Miguel Amaya,R,R,3.4,1.63
605119,Brian Anderson,R,R,3.4,1.55
681982,Grant Anderson,R,R,3.371,1.535
605121,Justin Anderson,L,R,3.49,1.601
623433,Nick Anderson,R,R,3.549,1.627
502624,Chase Anderson,R,R,3.411,1.565
641312,Shaun Anderson,R,R,3.656,1.677
641313,Tim Anderson,R,R,3.54,1.56
542881,Tyler Anderson,L,L,3.56,1.68
677076,Clayton Andrews,L,L,3.104,1.448
542882,Matt Andriese,R,R,3.467,1.589
609280,Miguel Andujar,R,R,3.41,1.64
622088,Tejay Antone,R,R,3.549,1.627
666018,Jonathan Aranda,L,R,3.24,1.49
606115,Orlando Arcia,R,R,3.39,1.61
571448,Nolan Arenado,R,R,3.41,1.72
672356,Gabriel Arias,R,R,3.51,1.6
542888,Shawn Armstrong,R,R,3.467,1.589
668227,Randy Arozarena,R,R,3.24,1.52
650333,Luis Arraez,L,R,3.2,1.51
681293,Spencer Arrighetti,R,R,3.467,1.589
676879,Aaron Ashby,R,L,3.411,1.565
668933,Graham Ashcraft,L,R,3.467,1.589
665871,Javier Assad,R,R,3.411,1.565
687014,Nick Avila,R,R,3.549,1.627
658648,Pedro Avila,R,R,3.33,1.48
640492,José Azocar,R,R,3.29,1.59
669199,Lake Bachar,R,R,3.467,1.589
668731,Akil Baddoo,L,L,3.35,1.65
664056,Harrison Bader,R,R,3.12,1.5
678225,Ji Hwan Bae,L,R,3.15,1.47
595879,Javier Báez,R,R,3.49,1.65
672275,Patrick Bailey,S,R,3.42,1.68
641329,Bryan Baker,R,R,3.656,1.677
671117,Darren Baker,L,R,3.301,1.504
663609,Luken Baker,R,R,3.71,1.67
681460,Brooks Baldwin,S,R,3.25,1.59
607455,Anthony Banda,L,L,3.467,1.589
