gamePk,inning,halfInning,eventType,batter,pitcher,batSide,pitchHand,outs,balls,strikes,pitchType,pitchSpeed,strikeZoneTop,strikeZoneBottom,b_avg,b_atBats,b_obp,b_slg,b_ops,b_stolenbasepercent,p_era,p_whip,p_outs,p_strikepercent,p_groundToAirOut,p_strikeoutWalkRatio,p_homeRunsPer9
716382,6,top,field_out,Jason Heyward,Sean Hjelle,Left,Right,2,3,2,Knuckle Curve,84.1,3.56,1.69,.211,228.0,.288,.412,.700,1.0,3.90,1.21,242.0,.680,2.00,5.36,1.12
716382,6,top,field_out,Jason Heyward,Sean Hjelle,Left,Right,2,3,2,Knuckle Curve,84.7,3.58690112327605,1.85532556592634,.211,228.0,.288,.412,.700,1.0,3.90,1.21,242.0,.680,2.00,5.36,1.12
716382,6,top,field_out,Jason Heyward,Sean Hjelle,Left,Right,2,3,2,Knuckle Curve,83.8,3.51561436131617,1.71222222845652,.211,228.0,.288,.412,.700,1.0,3.90,1.21,242.0,.680,2.00,5.36,1.12
716382,6,top,field_out,Jason Heyward,Sean Hjelle,Left,Right,2,3,2,Sinker,95.5,3.56,1.69,.211,228.0,.288,.412,.700,1.0,3.90,1.21,242.0,.680,2.00,5.36,1.12
716382,6,top,field_out,Jason Heyward,Sean Hjelle,Left,Right,2,3,2,Sinker,96.2,3.56,1.69,.211,228.0,.288,.412,.700,1.0,3.90,1.21,242.0,.680,2.00,5.36,1.12
716382,6,top,field_out,David Peralta,Sean Hjelle,Left,Right,3,1,0,Knuckle Curve,84.1,3.72944396600681,1.89109106091903,.267,236.0,.335,.415,.750,1.0,3.90,1.21,242.0,.680,2.00,5.36,1.12
716382,6,top,field_out,David Peralta,Sean Hjelle,Left,Right,3,1,0,Sinker,95.0,3.53,1.7,.267,236.0,.335,.415,.750,1.0,3.90,1.21,242.0,.680,2.00,5.36,1.12
716382,6,bottom,field_out,Mike Yastrzemski,Lance Lynn,Left,Right,1,1,1,Cutter,88.2,3.55125905318618,1.81955597523735,.231,428.0,.302,.437,.739,0.6,3.84,1.34,352.0,.620,0.71,2.48,1.23
716382,6,bottom,field_out,Mike Yastrzemski,Lance Lynn,Left,Right,1,1,1,Four-Seam Fastball,93.1,3.5,1.67,.231,428.0,.302,.437,.739,0.6,3.84,1.34,352.0,.620,0.71,2.48,1.23
716382,6,bottom,field_out,Mike Yastrzemski,Lance Lynn,Left,Right,1,1,1,Four-Seam Fastball,91.5,3.5,1.67,.231,428.0,.302,.437,.739,0.6,3.84,1.34,352.0,.620,0.71,2.48,1.23
